molecule_id,molecular_weight,logP,num_hydrogen_bond_donors,num_hydrogen_bond_acceptors,topological_polar_surface_area,rotatable_bonds,aromatic_rings,bioactivity_score,toxicity_risk_level,drug_likeness,binding_affinity_kcal_mol,clinical_trial_phase_prediction
321,357.27,1.92,5,3,83.58,13,3,0.251,Medium,No,-6.11,Phase II
322,394.64,1.77,1,6,60.69,3,0,0.59,High,No,-6.66,Preclinical
323,288.63,3.09,0,8,38.98,6,3,0.195,Medium,Yes,-7.0,Phase II
324,506.93,2.07,0,6,67.96,4,4,0.503,Low,Yes,-7.21,Phase II
325,274.55,2.33,5,10,84.17,13,2,0.141,Low,Yes,-8.35,Phase III
326,258.94,3.39,3,3,109.98,8,5,0.832,Medium,Yes,-8.89,Preclinical
327,436.86,0.21,0,4,95.66,9,1,0.422,Medium,No,-5.47,Preclinical
328,409.37,4.08,5,1,138.24,14,1,0.327,High,No,-6.31,Preclinical
329,396.81,2.59,0,8,58.93,6,4,0.214,Low,No,-8.68,Preclinical
330,397.13,2.01,3,4,116.43,11,0,0.19,High,Yes,-7.4,Preclinical
331,349.08,2.39,4,6,91.42,13,3,0.609,Low,Yes,-9.59,Preclinical
332,282.71,2.45,5,11,110.84,8,5,0.751,High,Yes,-8.22,Phase I
333,355.69,0.42,2,3,76.9,13,2,0.726,High,Yes,-6.7,Phase III
334,299.21,4.29,2,11,122.15,8,0,0.849,Medium,No,-7.11,Preclinical
335,423.13,2.55,5,11,98.86,11,5,0.937,Medium,Yes,-7.33,Phase III
336,338.97,3.03,1,6,69.62,1,5,0.739,Low,No,-8.83,Phase II
337,288.09,3.64,4,11,89.64,14,4,0.374,Low,Yes,-9.13,Phase III
338,325.9,1.27,1,9,82.81,0,4,0.542,Low,No,-6.08,Phase III
339,380.97,3.07,2,9,104.68,10,1,-0.064,Low,Yes,-4.96,Phase II
340,307.72,2.18,3,10,54.61,3,2,0.659,Medium,No,-6.68,Phase II
341,288.33,3.52,5,3,89.12,3,0,0.537,Low,No,-7.76,Phase I
342,368.28,-0.05,0,3,101.86,12,1,0.899,High,No,-5.66,Phase I
343,368.37,2.38,2,4,90.99,1,2,0.314,Low,No,-8.76,Phase III
344,311.98,1.78,4,7,130.41,2,3,0.629,Medium,No,-5.92,Preclinical
345,314.67,3.02,2,3,113.22,2,3,0.249,Medium,Yes,-8.39,Preclinical
346,367.4,3.06,4,10,89.78,4,1,0.472,Low,No,-8.32,Phase II
347,241.39,1.65,4,8,96.5,0,0,0.091,Low,No,-8.0,Phase I
348,244.44,1.65,5,11,98.87,8,2,0.839,Low,Yes,-7.65,Phase II
349,296.12,2.37,4,8,102.1,7,3,0.763,Medium,No,-6.13,Preclinical
350,333.99,1.42,1,6,35.23,7,3,0.382,Medium,Yes,-9.46,Phase I
351,373.32,3.51,3,4,80.95,2,0,0.565,Low,Yes,-8.41,Preclinical
352,460.65,2.06,2,11,45.47,1,1,0.51,Medium,Yes,-7.19,Phase III
353,414.32,-0.99,3,11,128.35,0,4,0.347,Low,Yes,-6.66,Preclinical
354,338.0,2.05,0,5,88.17,11,5,0.531,Medium,Yes,-10.06,Phase II
355,348.57,1.25,2,2,84.2,5,2,0.389,Low,Yes,-8.69,Preclinical
356,274.81,0.54,3,6,116.9,12,3,0.745,Medium,Yes,-10.12,Preclinical
357,348.61,1.02,3,3,102.67,9,5,0.447,High,No,-8.55,Preclinical
358,328.35,2.63,5,6,56.14,0,5,1.098,Medium,Yes,-8.16,Preclinical
359,374.2,4.09,5,5,87.87,13,4,0.481,Low,Yes,-6.75,Phase I
360,287.96,2.88,0,2,79.94,10,5,0.528,Low,Yes,-10.94,Preclinical
361,388.95,1.77,4,5,37.66,4,0,0.632,Medium,Yes,-6.52,Phase I
362,464.96,3.05,2,5,69.29,8,1,0.709,Low,Yes,-8.26,Preclinical
363,341.84,1.95,5,9,84.49,10,2,0.519,Low,Yes,-8.01,Phase III
364,380.13,1.67,2,11,86.55,8,0,0.627,Medium,No,-6.04,Preclinical
365,401.76,1.11,0,8,45.53,12,1,0.546,Low,Yes,-5.48,Preclinical
366,319.91,0.4,5,7,124.55,11,0,0.305,Low,No,-8.48,Phase I
367,366.81,2.03,5,3,86.94,14,3,0.238,High,No,-8.49,Phase III
368,350.94,2.69,4,10,91.13,3,3,0.675,Low,No,-8.03,Phase III
369,357.33,2.38,2,4,102.02,6,4,0.879,Low,Yes,-8.5,Phase III
370,292.02,2.0,2,6,66.36,13,0,0.092,Medium,Yes,-9.65,Preclinical
371,351.84,1.37,2,3,103.69,10,5,0.141,High,Yes,-7.55,Phase II
372,387.35,3.23,4,11,78.99,6,3,0.139,Low,Yes,-8.49,Phase II
373,458.84,0.92,5,9,63.1,3,1,0.694,Medium,Yes,-7.35,Phase III
374,421.95,3.43,0,8,107.2,4,4,0.715,Medium,No,-4.94,Preclinical
375,511.49,1.3,2,6,134.75,10,5,0.256,Low,Yes,-7.66,Phase III
376,292.45,1.6,3,4,111.74,8,2,1.051,Low,Yes,-8.63,Phase I
377,415.42,0.74,4,7,117.69,6,0,0.404,Low,Yes,-7.91,Phase I
378,363.75,1.9,1,11,74.38,6,3,0.859,Medium,No,-7.31,Phase I
379,514.24,3.67,0,3,42.07,9,5,0.702,Medium,No,-7.75,Phase I
380,289.38,3.12,3,10,134.7,6,1,0.26,Low,Yes,-8.34,Phase I
381,287.02,3.67,2,8,151.64,14,0,0.395,Medium,Yes,-9.99,Preclinical
382,305.05,3.13,1,1,136.28,8,1,0.282,Medium,Yes,-6.55,Phase II
383,190.71,1.18,0,3,79.93,4,4,0.164,Low,No,-8.84,Phase I
384,310.57,2.1,4,11,55.36,5,3,0.437,Medium,No,-5.31,Phase II
385,293.07,1.56,1,5,58.03,2,3,0.2,Low,Yes,-8.05,Preclinical
386,361.28,4.1,5,5,39.49,0,4,0.456,High,Yes,-8.27,Phase III
387,375.63,1.06,1,10,86.78,10,1,0.983,Medium,No,-8.21,Phase II
388,490.71,3.57,3,2,138.17,11,0,0.674,Medium,Yes,-7.27,Preclinical
389,421.28,3.57,0,10,85.75,1,1,0.361,Medium,No,-8.8,Phase II
390,306.73,4.7,3,8,99.07,7,0,0.34,Medium,Yes,-8.51,Preclinical
391,282.62,2.01,3,5,131.27,12,5,0.4,High,Yes,-6.57,Preclinical
392,386.89,3.35,2,7,77.88,0,4,1.018,Medium,Yes,-9.03,Phase I
393,250.98,5.24,4,7,151.07,9,2,0.228,High,Yes,-6.68,Phase I
394,487.36,1.76,1,5,149.76,6,0,0.5,Medium,No,-6.26,Preclinical
395,438.46,0.66,0,8,86.07,4,3,0.616,Low,No,-6.5,Preclinical
396,314.81,0.24,5,9,72.67,12,5,0.804,High,Yes,-7.15,Phase III
397,221.51,3.36,4,4,110.92,5,3,0.417,Medium,Yes,-10.21,Preclinical
398,451.54,0.24,4,4,79.57,7,5,0.259,Medium,Yes,-9.32,Preclinical
399,341.41,2.05,0,8,55.3,3,3,0.572,High,No,-9.53,Phase III
400,442.84,3.02,4,1,128.44,5,1,0.829,Low,Yes,-8.07,Preclinical
401,230.42,2.72,2,4,126.49,13,1,0.432,Low,Yes,-7.45,Phase II
402,305.05,3.01,4,6,94.67,10,1,0.29,Low,Yes,-9.29,Preclinical
403,350.39,2.77,2,4,52.11,2,5,0.528,Medium,Yes,-7.76,Phase I
404,353.52,4.03,1,6,53.11,6,5,0.094,Medium,No,-6.47,Preclinical
405,316.25,1.36,1,5,93.22,1,3,0.445,High,No,-9.0,Phase III
406,396.71,1.69,3,9,75.0,11,0,0.795,Low,Yes,-8.73,Phase I
407,269.93,1.57,2,10,79.77,7,5,0.719,Medium,No,-5.73,Phase I
408,339.32,3.5,5,9,120.66,12,3,0.464,High,Yes,-8.89,Phase III
409,359.02,3.58,1,4,112.0,6,0,0.915,Medium,No,-6.99,Phase III
410,388.58,3.04,4,4,131.34,11,1,0.977,Low,Yes,-5.64,Preclinical
411,403.37,3.92,0,8,60.28,11,5,0.666,Medium,Yes,-9.27,Phase II
412,265.65,1.09,0,10,79.7,7,2,0.133,High,Yes,-9.16,Preclinical
413,234.94,4.5,2,4,112.77,1,1,0.03,High,Yes,-7.85,Phase I
414,445.83,4.33,5,2,103.44,2,4,0.846,Medium,Yes,-7.4,Preclinical
415,374.92,3.38,3,2,135.97,11,0,0.561,High,No,-8.46,Phase I
416,293.86,4.64,4,1,102.62,3,2,0.909,Low,No,-4.54,Preclinical
417,466.34,0.51,2,5,145.44,11,1,0.165,Low,Yes,-6.69,Phase I
418,358.68,1.87,0,6,106.2,8,5,0.46,High,No,-8.71,Phase I
419,438.45,1.62,2,9,121.87,11,2,0.757,Low,Yes,-9.55,Preclinical
420,355.06,3.37,4,5,80.29,11,3,0.318,Low,Yes,-7.59,Phase I
421,504.56,1.24,5,6,90.43,4,0,0.754,Low,Yes,-6.84,Phase III
422,481.65,3.41,5,6,117.33,5,4,0.469,Medium,No,-4.74,Phase II
423,331.33,4.14,1,3,138.39,0,3,0.507,Medium,Yes,-7.39,Phase I
424,422.87,3.33,4,4,111.88,3,2,0.204,Low,Yes,-7.86,Phase III
425,398.4,2.84,1,1,87.5,13,1,0.563,High,Yes,-8.96,Phase I
426,452.65,1.31,1,4,131.32,3,0,1.048,High,Yes,-6.94,Preclinical
427,277.63,1.48,1,1,24.24,9,5,0.597,Low,No,-5.97,Phase I
428,401.45,4.0,2,5,47.33,7,4,0.302,Low,Yes,-10.18,Preclinical
429,429.38,3.44,0,11,110.45,7,1,0.849,Medium,Yes,-7.39,Phase II
430,218.09,2.45,5,11,90.42,9,4,0.31,Medium,Yes,-9.03,Phase III
431,261.26,2.0,2,8,108.17,5,5,0.93,Low,Yes,-9.54,Preclinical
432,197.06,0.07,0,8,91.93,7,0,0.181,Low,No,-4.96,Phase I
433,329.79,1.21,5,5,107.13,8,2,0.568,Low,Yes,-6.17,Phase I
434,403.82,4.79,4,10,65.57,4,4,0.882,Low,No,-8.41,Preclinical
435,462.68,0.96,5,2,107.11,0,0,0.283,Low,Yes,-7.74,Phase II
436,355.56,2.73,5,6,119.83,0,4,0.521,Medium,No,-7.98,Phase I
437,472.15,3.71,5,1,126.62,1,1,0.789,Medium,No,-9.19,Preclinical
438,246.49,0.99,3,7,150.41,1,4,-0.064,Medium,No,-8.31,Phase II
439,222.25,2.72,4,11,97.32,4,1,0.732,Low,No,-6.32,Preclinical
440,345.83,3.63,2,4,98.22,6,1,0.478,Medium,Yes,-8.35,Phase III
441,378.8,2.51,2,5,44.3,6,0,0.86,Low,No,-6.8,Preclinical
442,347.55,5.94,0,6,74.06,14,3,0.293,Low,No,-8.34,Phase I
443,194.94,0.5,2,11,84.21,3,5,0.153,Medium,No,-9.28,Preclinical
444,343.32,3.77,1,1,121.51,12,4,0.364,Medium,Yes,-5.71,Preclinical
445,252.16,2.29,5,9,71.67,3,2,0.359,Low,No,-10.7,Phase II
446,400.23,3.43,2,10,113.89,13,1,0.448,Medium,Yes,-4.82,Phase I
447,377.49,3.03,0,4,89.95,13,3,0.383,High,Yes,-6.0,Phase III
448,279.51,1.62,0,8,84.68,10,1,-0.002,Medium,Yes,-7.23,Phase I
449,311.46,2.77,1,5,97.47,14,3,0.476,Medium,No,-8.17,Phase III
450,270.56,0.27,0,11,78.27,9,3,0.558,High,Yes,-8.05,Phase III
451,345.3,3.22,3,8,77.13,2,2,0.452,Medium,Yes,-7.2,Phase I
452,421.64,2.86,5,1,38.86,10,3,0.572,Medium,Yes,-7.22,Phase I
453,276.07,3.27,5,8,82.56,1,2,0.521,Low,Yes,-8.94,Phase II
454,387.8,3.77,5,11,75.6,2,0,0.155,Low,No,-7.4,Preclinical
455,310.23,2.94,4,11,74.52,7,1,0.425,Medium,No,-7.11,Phase III
456,290.53,2.68,2,4,102.51,14,2,0.528,Medium,Yes,-7.95,Phase I
457,341.97,1.44,3,2,109.76,0,5,0.441,Low,Yes,-4.14,Phase II
458,272.36,1.65,2,11,96.97,3,1,0.127,High,Yes,-7.7,Preclinical
459,308.48,3.92,3,6,119.86,6,5,0.806,Low,Yes,-10.15,Phase II
460,260.16,4.22,2,2,107.27,4,4,0.257,Medium,Yes,-9.02,Preclinical
461,497.35,2.21,1,5,81.15,1,5,0.189,Low,Yes,-6.44,Phase II
462,352.64,2.56,0,2,76.11,0,0,0.51,Low,Yes,-8.58,Phase I
463,297.52,1.41,0,3,99.38,5,4,0.421,Medium,Yes,-8.99,Preclinical
464,366.05,3.91,1,11,107.21,12,4,0.65,Low,No,-5.41,Phase III
465,341.58,3.3,3,6,131.94,12,3,0.718,Low,Yes,-7.25,Phase II
466,333.43,4.83,4,1,125.74,4,5,0.68,Medium,Yes,-8.4,Phase III
467,396.06,1.45,3,6,73.76,2,3,0.5,Medium,Yes,-11.65,Preclinical
468,406.81,2.05,0,3,86.94,10,5,0.638,Medium,No,-6.57,Phase I
469,310.21,2.78,4,7,110.13,10,4,0.11,High,Yes,-7.48,Phase I
470,306.81,3.28,2,2,122.04,14,3,0.774,Low,Yes,-5.55,Phase II
471,329.37,2.24,4,6,118.17,10,1,0.399,Medium,Yes,-9.14,Preclinical
472,177.36,1.45,3,8,88.08,8,5,0.992,Medium,No,-8.06,Preclinical
473,236.36,3.56,1,1,52.38,2,5,0.781,High,No,-7.05,Phase III
474,452.52,3.37,2,11,60.03,1,3,0.451,High,No,-5.62,Phase I
475,473.37,1.4,3,11,98.18,4,5,0.505,Medium,Yes,-7.11,Phase III
476,331.32,4.13,2,9,100.27,8,4,0.796,Medium,No,-8.56,Preclinical
477,393.24,3.9,4,5,57.04,7,3,-0.065,Low,No,-5.55,Phase III
478,373.34,2.66,0,5,91.34,5,3,0.46,Low,Yes,-7.97,Phase II
479,580.92,2.6,3,5,108.94,2,2,0.925,Medium,No,-7.23,Phase II
480,433.97,3.16,1,6,55.46,5,2,0.711,Medium,Yes,-6.37,Preclinical
481,340.41,1.47,4,2,123.15,4,4,0.291,Medium,Yes,-5.16,Phase III
482,278.33,2.54,3,6,78.67,0,1,0.579,Medium,No,-6.95,Phase I
483,229.52,-0.08,1,11,127.73,4,5,0.256,Low,Yes,-3.62,Phase II
484,365.26,3.55,3,4,74.0,13,0,0.415,Medium,Yes,-7.63,Preclinical
485,293.27,0.63,4,8,59.2,6,5,0.583,Low,Yes,-7.06,Phase I
486,243.33,4.3,3,11,76.26,8,0,0.627,Low,No,-8.43,Phase III
487,301.51,2.1,2,9,87.15,11,4,0.682,Low,Yes,-7.02,Preclinical
488,268.88,2.25,4,9,78.35,14,1,0.808,High,Yes,-7.05,Phase II
489,476.54,1.75,3,8,83.52,0,1,0.202,Low,Yes,-5.93,Preclinical
490,416.12,2.15,0,3,100.02,2,1,0.506,Medium,No,-6.83,Phase III
491,349.4,4.2,3,10,84.86,7,2,0.287,Low,No,-8.29,Phase III
492,461.0,-0.49,2,11,88.02,5,4,0.4,Low,Yes,-7.12,Preclinical
493,355.8,4.03,1,11,38.72,12,0,0.311,High,Yes,-8.51,Preclinical
494,285.4,2.91,1,4,101.75,4,1,0.625,Medium,Yes,-6.68,Phase II
495,464.23,1.05,1,1,87.32,12,4,0.763,Low,Yes,-8.34,Preclinical
496,390.42,1.21,0,9,138.31,9,5,0.777,Low,No,-9.6,Phase I
497,272.21,4.51,2,5,61.81,1,0,0.224,High,Yes,-9.2,Preclinical
498,335.72,1.37,4,6,35.75,2,2,0.469,Low,Yes,-9.26,Phase I
499,284.33,1.12,1,3,108.54,11,3,0.217,Medium,Yes,-8.29,Preclinical
500,246.29,3.86,2,11,100.4,1,0,0.208,Low,Yes,-8.77,Preclinical
501,419.46,2.91,3,10,59.75,0,5,0.335,Low,Yes,-7.53,Preclinical
502,493.21,1.37,0,8,44.11,6,0,0.586,Low,Yes,-8.09,Phase I
503,245.11,2.76,2,7,136.12,13,0,0.63,Medium,No,-6.73,Phase I
504,392.22,1.27,2,1,132.42,2,3,0.664,Medium,Yes,-6.93,Preclinical
505,301.2,3.82,4,10,15.38,6,1,0.648,Low,Yes,-7.99,Phase I
506,313.47,3.77,2,5,76.25,11,5,0.288,Medium,Yes,-5.64,Phase III
507,305.57,3.14,4,10,139.93,6,3,0.796,High,No,-8.89,Preclinical
508,285.2,2.93,0,9,75.72,7,0,0.701,High,Yes,-5.99,Phase II
509,353.64,4.61,0,11,75.28,0,5,0.397,Low,No,-7.27,Phase II
510,287.68,2.5,3,6,81.52,4,2,0.406,Low,No,-8.09,Preclinical
511,370.28,1.08,4,8,56.37,9,0,0.336,High,No,-5.81,Preclinical
512,346.23,3.04,4,10,38.86,8,2,0.177,Low,Yes,-6.66,Phase I
513,332.08,5.0,1,1,121.58,11,4,0.667,Low,Yes,-9.11,Phase II
514,281.93,1.28,1,10,34.71,10,2,0.706,High,Yes,-6.95,Preclinical
515,306.74,2.07,3,11,97.42,6,0,0.268,Low,Yes,-6.96,Phase III
516,406.65,3.0,0,7,116.6,0,3,0.192,Low,No,-5.99,Phase II
517,387.57,2.44,5,3,46.46,7,0,0.266,Low,Yes,-6.62,Preclinical
518,276.68,1.32,1,9,62.27,2,0,0.528,Medium,Yes,-6.51,Preclinical
519,357.45,3.85,2,6,126.4,12,4,0.155,Low,Yes,-8.16,Preclinical
520,406.35,5.28,0,5,105.99,3,1,0.782,High,No,-7.81,Phase I
521,224.79,2.74,5,8,71.48,3,0,0.767,Medium,Yes,-7.88,Phase I
522,390.75,1.42,2,8,126.07,14,4,0.606,Medium,Yes,-9.9,Phase II
523,300.3,0.64,4,3,126.2,9,3,0.702,Low,Yes,-5.57,Phase II
524,392.79,2.81,0,2,98.07,13,4,0.515,Low,No,-9.18,Preclinical
525,292.76,3.82,3,2,63.0,11,4,0.616,Medium,Yes,-7.1,Phase I
526,214.63,3.07,4,5,77.6,7,2,0.175,Low,Yes,-8.0,Preclinical
527,227.93,2.5,4,10,98.59,0,1,0.848,High,Yes,-7.86,Preclinical
528,353.61,1.79,2,7,84.34,7,1,0.378,Low,No,-6.48,Phase II
529,369.48,1.19,4,8,118.17,8,5,0.468,Medium,Yes,-8.67,Preclinical
530,282.18,3.5,1,10,44.11,8,3,1.122,Low,No,-6.82,Phase II
531,397.89,3.6,0,8,45.17,4,5,0.445,Medium,No,-6.8,Phase III
532,225.39,0.65,1,8,95.43,3,4,0.685,Low,Yes,-8.66,Phase I
533,345.04,4.41,2,10,75.25,3,3,0.629,Low,Yes,-6.13,Preclinical
534,259.17,3.19,5,11,71.19,8,3,0.167,High,Yes,-5.45,Preclinical
535,301.11,4.18,2,3,36.96,14,1,0.25,Medium,Yes,-4.46,Preclinical
536,353.55,0.89,0,11,90.59,7,1,1.009,Medium,Yes,-7.89,Phase I
537,285.47,0.86,4,2,88.42,9,1,0.645,Medium,Yes,-7.21,Phase II
538,321.16,2.32,3,4,109.6,14,0,0.496,Medium,Yes,-7.12,Phase I
539,425.47,3.1,2,1,92.07,9,4,0.366,Low,Yes,-6.5,Phase II
540,306.73,4.66,0,3,86.02,11,3,0.58,Low,No,-4.88,Phase II
541,412.68,3.35,3,11,125.31,6,4,0.604,Medium,No,-6.77,Phase III
542,265.27,2.21,4,9,50.63,11,3,0.557,Low,Yes,-6.73,Preclinical
543,389.74,1.27,5,7,106.09,2,3,0.767,Medium,Yes,-9.14,Phase III
544,458.12,3.98,2,7,39.87,3,5,0.283,Low,No,-4.43,Phase II
545,164.63,1.34,5,1,64.85,14,3,0.25,Low,No,-8.21,Preclinical
546,290.23,4.45,0,7,53.62,8,3,0.761,Low,No,-11.49,Phase III
547,393.28,2.16,5,10,113.46,13,2,1.028,Medium,Yes,-10.91,Phase III
548,334.77,4.41,5,7,88.04,12,2,0.711,Medium,Yes,-7.01,Phase I
549,377.84,3.31,0,4,89.59,7,5,0.824,Low,Yes,-9.41,Phase II
550,304.7,2.34,0,7,56.8,11,0,0.481,Low,Yes,-7.42,Preclinical
551,356.49,1.88,2,8,81.01,11,1,0.567,High,Yes,-9.74,Phase I
552,338.32,2.09,5,3,67.1,0,3,0.563,Low,Yes,-7.04,Preclinical
553,437.58,3.01,3,10,101.5,2,4,0.486,Medium,Yes,-6.65,Phase I
554,369.08,2.59,0,2,60.27,13,2,0.853,High,No,-7.24,Phase I
555,375.32,1.79,4,7,129.89,11,1,0.779,High,Yes,-8.54,Preclinical
556,319.11,2.3,5,5,39.73,9,0,0.4,High,Yes,-6.18,Phase II
557,313.43,2.59,0,5,65.8,1,1,0.089,Low,No,-8.1,Preclinical
558,317.56,-0.05,3,5,140.32,1,3,0.484,High,No,-7.78,Preclinical
559,379.58,3.05,2,7,76.95,12,1,0.211,Medium,Yes,-8.26,Preclinical
560,318.43,1.32,5,9,50.55,12,3,0.506,Medium,No,-7.9,Phase I
561,371.73,1.12,0,11,96.57,7,5,0.231,Low,Yes,-4.69,Preclinical
562,505.66,0.48,0,8,75.74,5,2,0.814,High,Yes,-7.51,Preclinical
563,415.33,0.35,4,6,64.92,11,2,0.671,Medium,No,-9.4,Preclinical
564,325.55,0.87,4,7,57.12,11,3,0.665,Medium,Yes,-8.94,Preclinical
565,440.09,1.65,5,9,173.05,11,4,0.768,Low,Yes,-7.91,Phase I
566,319.39,4.84,0,11,82.45,12,2,0.598,Low,Yes,-8.69,Phase III
567,197.14,1.87,5,6,32.23,5,4,0.637,High,Yes,-6.08,Preclinical
568,274.39,2.71,0,1,134.81,3,3,0.859,Medium,Yes,-9.63,Phase II
569,209.69,2.98,4,4,108.33,0,5,0.466,Low,Yes,-7.68,Preclinical
570,323.64,2.66,3,8,67.01,10,3,0.651,Medium,Yes,-5.98,Preclinical
571,351.38,2.41,1,7,62.01,6,5,0.237,Low,No,-8.45,Preclinical
572,475.73,1.07,1,3,110.2,7,2,0.52,Low,Yes,-6.84,Phase III
573,374.52,4.24,0,10,82.59,1,4,1.065,Low,Yes,-7.56,Phase I
574,333.57,4.67,4,3,32.22,1,3,0.704,Low,Yes,-7.55,Phase II
575,412.21,0.48,2,11,143.62,0,2,0.479,Low,No,-6.73,Phase I
576,184.16,1.27,2,3,76.98,3,5,0.566,Low,No,-10.29,Preclinical
577,367.67,2.16,1,1,134.87,5,3,0.495,Low,No,-5.69,Phase III
578,407.81,1.34,3,10,128.35,13,5,0.558,Medium,Yes,-10.35,Preclinical
579,239.11,3.11,1,1,59.97,4,1,0.4,High,Yes,-5.8,Preclinical
580,435.78,1.63,0,6,121.0,3,5,0.624,Medium,Yes,-6.85,Preclinical
581,375.39,5.1,3,1,70.46,13,1,0.633,Low,Yes,-6.79,Preclinical
582,318.85,3.93,2,5,34.0,3,2,0.502,Low,Yes,-5.08,Preclinical
583,397.46,2.76,4,4,77.26,9,3,0.535,Medium,No,-5.72,Phase I
584,520.3,3.73,4,5,101.93,14,2,0.585,High,Yes,-6.28,Preclinical
585,363.64,3.83,0,7,76.12,6,0,0.368,Low,No,-7.94,Phase I
586,368.62,1.82,1,6,80.79,6,5,0.621,Low,Yes,-8.04,Preclinical
587,315.55,1.52,0,9,124.31,1,2,0.695,Medium,No,-6.24,Phase III
588,286.26,2.59,4,6,93.19,12,2,0.866,Medium,Yes,-6.82,Preclinical
589,412.28,3.53,2,9,64.7,6,1,0.58,Low,No,-7.05,Phase II
590,285.79,2.67,4,4,111.06,1,5,0.361,Medium,Yes,-7.59,Phase II
591,355.37,0.61,3,1,95.93,3,1,0.474,Medium,No,-8.11,Preclinical
592,314.18,1.54,5,1,14.35,14,3,0.214,High,Yes,-9.58,Preclinical
593,385.92,2.41,4,10,102.85,0,2,0.682,Low,Yes,-6.53,Preclinical
594,375.02,2.41,4,7,101.75,4,5,-0.015,High,Yes,-7.77,Preclinical
595,427.82,4.87,5,3,90.6,0,2,0.756,Low,Yes,-7.87,Preclinical
596,311.75,0.84,3,2,116.75,3,3,0.786,Medium,No,-10.22,Phase II
597,329.76,3.11,1,6,69.83,12,4,-0.233,Medium,No,-7.36,Phase I
598,276.59,4.29,4,6,100.09,8,3,0.819,Low,Yes,-9.55,Phase I
599,316.68,5.23,0,7,42.99,12,1,0.757,Medium,No,-8.15,Preclinical
600,378.3,2.01,4,5,102.21,11,1,0.427,Low,Yes,-6.31,Phase III
601,406.77,3.09,0,8,148.59,7,2,0.202,Low,Yes,-7.41,Preclinical
602,280.84,3.18,3,7,60.15,5,1,0.291,Low,Yes,-7.66,Preclinical
603,415.22,2.73,4,2,67.21,14,5,0.31,Medium,No,-8.59,Preclinical
604,451.67,2.38,3,1,68.7,7,3,0.829,Low,Yes,-8.32,Preclinical
605,381.01,3.02,3,9,93.9,4,2,0.388,High,No,-5.12,Phase II
606,490.76,-0.54,1,5,58.11,6,3,0.726,Low,Yes,-6.33,Phase II
607,291.97,3.32,4,11,102.64,7,3,0.469,Low,Yes,-8.19,Phase II
608,256.65,2.65,0,5,115.41,6,2,0.514,Low,Yes,-7.66,Phase I
609,216.6,2.23,0,10,106.03,13,4,0.107,Medium,Yes,-7.13,Phase III
610,462.2,4.96,4,4,36.95,3,1,0.213,Low,Yes,-6.84,Phase I
611,399.08,1.69,5,2,119.86,4,0,0.823,Low,Yes,-7.54,Phase I
612,345.83,2.02,1,5,118.12,12,0,0.461,Low,No,-10.16,Preclinical
613,371.0,4.89,1,2,114.9,13,0,0.575,Low,Yes,-7.55,Preclinical
614,265.59,1.5,1,7,101.19,9,1,0.952,Medium,No,-7.64,Phase I
615,533.43,1.84,0,11,96.61,5,4,0.468,Medium,Yes,-4.41,Preclinical
616,359.69,2.32,3,9,120.97,13,3,0.454,Low,Yes,-3.46,Phase I
617,358.2,3.51,5,9,147.71,13,2,0.802,Low,Yes,-6.54,Preclinical
618,404.43,2.75,1,11,61.41,11,4,0.503,High,Yes,-8.52,Phase II
619,386.08,0.95,0,6,122.34,10,0,0.58,Low,Yes,-6.48,Phase III
620,366.79,1.86,0,1,87.41,5,5,0.749,High,Yes,-10.05,Preclinical
621,290.71,1.77,3,6,86.11,12,1,0.5,Low,Yes,-8.3,Phase II
622,385.36,2.41,4,5,43.9,8,1,0.697,Low,No,-9.94,Phase III
623,491.15,3.01,4,4,81.46,9,2,0.471,Medium,Yes,-6.67,Phase III
624,450.91,3.0,1,6,60.08,13,5,0.745,High,Yes,-9.32,Preclinical
625,469.49,0.37,1,6,76.08,13,3,0.605,Low,No,-7.93,Phase II
626,311.66,3.78,5,6,57.05,1,4,0.444,Low,No,-7.57,Preclinical
627,275.78,2.8,3,2,76.53,5,5,0.519,Low,Yes,-7.54,Phase I
628,340.57,4.16,1,7,77.82,12,4,-0.111,High,No,-8.21,Phase II
629,354.18,3.03,3,4,92.9,2,4,0.798,Medium,No,-6.99,Phase II
630,432.06,3.82,0,9,41.56,13,3,0.186,Low,Yes,-9.38,Preclinical
631,223.07,3.06,1,10,46.63,1,3,0.233,Low,Yes,-4.89,Phase II
632,464.72,4.12,0,2,100.86,5,3,0.39,Low,No,-9.05,Phase I
633,338.15,3.13,2,5,66.08,3,2,0.052,Low,Yes,-7.44,Preclinical
634,317.98,2.38,3,4,122.24,4,1,0.617,Low,Yes,-6.56,Phase I
635,274.09,5.23,2,9,96.76,4,0,0.59,Medium,Yes,-6.48,Phase III
636,225.89,3.57,1,4,108.2,2,3,0.378,Low,No,-6.34,Phase III
637,411.74,3.19,0,8,132.32,11,1,0.33,Low,No,-9.89,Phase II
638,355.5,0.97,1,8,80.71,3,3,0.327,Medium,Yes,-8.88,Preclinical
639,253.25,0.95,2,6,72.77,2,0,0.654,Low,No,-7.3,Preclinical
640,252.87,2.85,1,6,116.15,6,5,0.102,Low,Yes,-6.78,Preclinical
641,324.82,2.67,5,11,105.29,14,3,0.398,Low,Yes,-5.61,Preclinical
642,475.18,1.76,4,8,84.38,0,1,0.118,Low,Yes,-8.27,Preclinical
643,330.53,2.67,2,10,131.74,14,2,0.692,Medium,No,-8.86,Preclinical
